"","tested_OR","specific_odorant","comparison","diff","lwr.ci","upr.ci","pval"
"1","Olfr1009","minusD","1-0",0.000206333333333336,-0.121422558343645,0.121835225010311,0.999999999999983
"2","Olfr1009","minusD","3.16-0",-0.027627,-0.149255891676978,0.0940018916769781,0.961902520346146
"3","Olfr1009","minusD","10-0",0.0379886666666667,-0.0836402250103114,0.159617558343645,0.866368109580269
"4","Olfr1009","minusD","31.6-0",0.08704,-0.0345888916769781,0.208668891676978,0.212396971597222
"5","Olfr1009","minusD","100-0",0.185637333333333,0.0640084416563552,0.307266225010311,0.00282887351684991
"6","Olfr1009","minusD","316-0",0.289707666666667,0.168078774989689,0.411336558343645,2.38308203651671e-05
"7","Olfr1009","pCI_minusD","1-0",0.0479536666666667,-0.0202288797538587,0.116136213087192,0.225245264570943
"8","Olfr1009","pCI_minusD","3.16-0",-0.00094933333333333,-0.0691318797538587,0.067233213087192,0.99999999489037
"9","Olfr1009","pCI_minusD","10-0",-0.0133603333333333,-0.0815428797538587,0.054822213087192,0.980538646557038
"10","Olfr1009","pCI_minusD","31.6-0",0.0178226666666667,-0.0503598797538587,0.086005213087192,0.931396594246655
"11","Olfr1009","pCI_minusD","100-0",0.00272166666666666,-0.0654608797538587,0.070904213087192,0.999997237698091
"12","Olfr1009","pCI_minusD","316-0",-0.0179336666666667,-0.086116213087192,0.0502488797538587,0.929594802626997
"13","Olfr1009","pCI_plusH","1-0",0.034692,-0.0276744332725795,0.0970584332725795,0.424236996817083
"14","Olfr1009","pCI_plusH","3.16-0",-0.00926533333333333,-0.0716317666059128,0.0531010999392461,0.995076596980688
"15","Olfr1009","pCI_plusH","10-0",0.0110453333333333,-0.0513210999392461,0.0734117666059128,0.988033082513766
"16","Olfr1009","pCI_plusH","31.6-0",0.0325656666666667,-0.0298007666059128,0.0949320999392461,0.482605197970905
"17","Olfr1009","pCI_plusH","100-0",0.0441326666666667,-0.0182337666059128,0.106499099939246,0.220585977346462
"18","Olfr1009","pCI_plusH","316-0",-0.00370333333333334,-0.0660697666059128,0.0586630999392461,0.999971253716861
"19","Olfr1009","plusH","1-0",0.005277,-0.120644058608073,0.131198058608073,0.999996328844278
"20","Olfr1009","plusH","3.16-0",-0.00541933333333333,-0.131340391941406,0.120501725274739,0.999995693470008
"21","Olfr1009","plusH","10-0",0.015254,-0.110667058608073,0.141175058608073,0.998337767400167
"22","Olfr1009","plusH","31.6-0",0.030176,-0.0957450586080727,0.156097058608073,0.952049163224227
"23","Olfr1009","plusH","100-0",0.010363,-0.115558058608073,0.136284058608073,0.999809100514392
"24","Olfr1009","plusH","316-0",0.132503666666667,0.00658260805859398,0.258424725274739,0.0376834317121277
"25","Olfr1107","minusD","1-0",-0.0800363333333333,-0.22070802859228,0.0606353619256137,0.403505397694292
