,receptor,vivo_pref,vitro_ratio,vivo_ratio
0,Olfr491,nMenthol,-2.473088943725597,-1.5961003720603422
1,Olfr1085,nMenthol,-2.031738272831759,-1.250901822851509
2,Olfr824,nMenthol,-1.9516172947599104,-1.4746779715508849
3,Olfr1505,both,2.6763698082804606,0.1715843727656401
4,Olfr202,nMenthol,-1.916357611438852,-1.652371379646532
5,Olfr1469,nMenthol,-3.0704320728775,-1.97731395886836
6,Olfr374,pMenthol,1.2475521234014968,1.8802793865785588
7,Olfr1110,both,0.8908087715665651,-0.09902023298849016
8,Olfr1487,nMenthol,-2.8529226291477228,-1.3930404752305812
