,0,1
0,nAA_0.0,0.8698224852071006
0,nAA_6.0,0.8166666666666667
0,nBM_0.0,0.8708010335917312
0,nBM_1.0,0.5815126050420169
0,nBM_2.0,0.0
0,nBM_3.0,0.5446808510638298
0,nBM_6.0,0.7536231884057971
0,nBM_7.0,0.8212765957446809
0,RBN_0.0,0.6595238095238095
0,RBN_1.0,0.3665413533834587
0,RBN_2.0,0.45416666666666666
0,RBN_3.0,0.0
0,RBN_4.0,0.47659574468085103
0,RBN_5.0,0.6127659574468086
0,RBN_7.0,0.0
0,RBF_0.032258064516129,1.0
0,RBF_0.0384615384615385,0.43
0,RBF_0.04,1.0
0,RBF_0.0588235294117647,0.20312499999999997
0,RBF_0.0909090909090909,0.0
0,RBF_0.105263157894737,0.0
0,RBF_0.111111111111111,0.0
0,RBF_0.125,0.0
0,RBF_0.153846153846154,0.0
0,RBF_0.166666666666667,0.07999999999999996
0,RBF_0.192307692307692,1.0
0,nDB_0.0,0.5711805555555556
0,nDB_1.0,0.4462121212121212
0,nDB_2.0,0.3181818181818182
0,nN_0.0,0.9174603174603173
0,nN_1.0,0.7829787234042553
0,nN_2.0,0.98
0,nO_0.0,0.7847222222222223
0,nO_1.0,0.4737631184407796
0,nO_2.0,0.6625
0,nS_0.0,0.6833333333333333
0,nS_1.0,0.6676136363636364
0,nHet_0.0,0.0
0,nHet_1.0,0.44494047619047616
0,nHet_2.0,0.46251993620414666
0,nHet_3.0,0.0
0,O%_11.7647058823529,0.04999999999999999
0,O%_2.94117647058824,0.0
0,O%_3.2258064516129,0.5986394557823129
0,O%_3.7037037037037,0.7619047619047619
0,O%_4.0,0.02721088435374149
0,O%_4.54545454545455,0.0
0,O%_5.26315789473684,0.62
0,O%_5.88235294117647,0.0
0,O%_8.69565217391304,0.3
0,nCsp3_0.0,0.5714285714285714
0,nCsp3_1.0,0.6212765957446809
0,nCsp3_2.0,0.26666666666666666
0,nCsp3_3.0,0.2042553191489362
0,nCsp3_4.0,0.4285714285714286
0,nCsp3_5.0,0.007751937984496126
0,nCsp3_6.0,0.4444444444444444
0,nCsp3_7.0,0.0
0,nCsp3_8.0,0.7142857142857143
0,nCsp2_1.0,0.7041420118343196
0,nCsp2_2.0,0.11489361702127661
0,nCsp2_3.0,0.21702127659574466
0,nCsp2_4.0,0.6927083333333333
0,nCsp2_5.0,0.31884057971014496
0,nCsp2_6.0,0.22448979591836737
0,Fsp3_0.125,0.8571428571428571
0,Fsp3_0.142857142857143,0.0
0,Fsp3_0.5,0.041269841269841276
0,Fsp3_0.6,0.07
0,Fsp3_0.75,0.38999999999999996
0,Fsp3_0.8,0.0
0,Fsp3_0.833333333333333,0.006802721088435382
0,Fsp3_0.857142857142857,0.0
0,max_conj_path_0.0,0.7879464285714286
0,max_conj_path_4.0,0.5658914728682172
0,max_conj_path_6.0,0.7244318181818181
0,nCIC_0.0,0.7762962962962963
0,nCIC_1.0,0.7733333333333333
0,nCIC_2.0,0.020000000000000018
0,nCIR_3.0,0.020000000000000018
0,TRS_5.0,0.4255319148936171
0,TRS_6.0,0.8245614035087719
0,Rperim_6.0,0.890625
0,Rbrid_0.0,0.04
0,Rbrid_2.0,0.020000000000000018
0,MCD_0.545454545454545,0.9574468085106382
0,MCD_0.6,0.5572916666666666
0,MCD_0.625,0.0
0,MCD_0.666666666666667,0.057291666666666685
0,MCD_0.75,0.027210884353741527
0,MCD_0.833333333333333,0.55
0,NRS_1.0,0.8074074074074072
0,NNRS_0.5,0.020000000000000018
0,nBridgeHead_2.0,0.020000000000000018
0,nR05_0.0,0.028985507246376815
0,nR05_1.0,0.0543478260869565
0,nR06_0.0,0.8740399385560677
0,nR06_1.0,0.85625
0,nBnz_0.0,0.7157622739018088
0,nBnz_1.0,0.6873385012919896
0,ARR_0.6,0.7482993197278911
0,ARR_0.75,0.027210884353741527
0,D/Dtr05_0.0,0.028985507246376815
0,D/Dtr06_22.1333333333333,0.0
0,D/Dtr06_26.3238095238095,0.47000000000000003
0,D/Dtr06_30.5142857142857,0.870748299319728
0,D/Dtr06_34.3809523809524,1.0
0,Qindex_0.0,0.851063829787234
0,Qindex_1.0,0.537467700258398
0,Qindex_2.0,0.4380952380952381
0,Qindex_3.0,0.015625000000000028
0,Qindex_4.0,0.273015873015873
