,ytrue_Euc,ytrue_cor,ytrue_cos,ypred_Euc,ypred_cor,ypred_cos,ypred_Euc_shuffled,ypred_cor_shuffled,ypred_cos_shuffled
0,24.12261671781687,0.9052887319328579,0.9265743763719932,33.566673,0.99556744,1.0814772,28.690548,0.88251704,0.9807
0,23.19599052349841,1.0062403984126864,1.0295183217548056,38.692806,1.0571662,0.81652766,31.337238,1.080541,1.0140291
0,32.91297772697196,1.0866507014660318,1.0182635380204295,26.786772,0.8840182,0.9620584,29.307835,0.9532804,0.99529517
0,26.500034894889453,0.9426565543844793,0.9984848085032167,29.070122,0.9964834,0.9493244,29.644411,0.92128384,0.9794909
0,34.569491823811575,0.7880391349554271,0.815661043683839,24.056513,0.9154589,0.8214034,24.311378,0.94026256,1.0398793
0,25.587998814126617,0.9959582213268684,1.038374678579545,27.875832,0.9345661,0.8206729,19.445444,1.0320183,1.0418646
0,26.545532379603852,0.9938038269162414,0.9402320096046056,30.810883,0.91209316,0.8147189,22.48704,1.0411774,1.0030997
0,22.827663860475084,0.8864218084841043,0.9221998608225103,25.324133,0.83810884,1.0094142,26.076204,1.0252069,0.9299856
0,26.58131454799877,1.0128488112409662,1.0341663188785863,29.00783,0.88522196,0.9412168,20.215496,0.9047156,0.984616
0,24.03882903417426,0.9853374833348596,0.9746718656206165,27.432688,1.049734,0.9295544,27.04737,0.952254,0.998527
0,20.439365373661918,0.9319780919366778,0.939474386560134,28.4209,0.97852916,1.117139,23.42584,0.906219,0.97484833
0,27.372633971326625,1.0696165973983647,1.0438555328918089,23.877857,0.8373553,0.7997669,22.898378,1.033705,0.93988717
0,29.159614784970778,0.9996803619151405,0.9379704842257701,29.318995,0.93593514,1.0792781,23.73586,1.0107702,0.94521326
0,25.968601086840984,1.0067833289990573,0.9300979281579972,32.109196,0.9875361,1.0176777,27.874,0.9759215,0.9414154
0,43.61213460935232,1.038995808074409,1.1004582197473685,29.305872,1.0163116,0.9280676,27.37785,1.0234568,0.87523854
0,30.147380025060837,1.0020867401127977,1.0213532393896136,36.762703,0.9178405,0.94918185,27.700571,0.96964973,1.034299
0,26.422970480125407,0.8451610865517376,0.849181811329527,26.975895,0.99312973,0.9166184,23.823845,0.9650862,0.977216
0,22.737089042941108,1.0237345549869725,1.0227814492412113,29.359583,1.0343986,0.9513596,31.207464,0.8888021,0.9670563
0,26.624803908605355,1.0603353073752018,1.0990692556587622,28.975418,0.9214795,0.91146857,22.844921,0.967442,1.0065126
0,23.028388580774973,0.8951789986967771,0.9546127234715623,28.670353,1.0439017,0.97738236,23.321121,1.0101409,1.007798
0,20.276954015069784,0.8859776085746077,0.8792532716709751,27.347864,0.89043474,0.90372944,21.799948,0.96202713,0.97989196
0,23.090144980247533,1.0745104732508863,1.0950463604511231,29.163034,0.93792427,0.97337794,24.358786,1.0073465,1.0924748
0,29.763811362824114,0.9930793710955033,0.9405225480759071,30.219658,0.8630663,0.9412256,26.206524,1.0341471,1.0258447
0,28.132379686064066,0.9609172115421796,0.9703373657732797,36.56719,1.0448581,0.9746006,22.353807,0.9899262,1.0139271
0,25.55913951048441,1.028345769910348,1.046200057775064,28.011925,1.0955995,1.01099,26.192062,0.9131255,1.0882345
0,32.981906396480035,1.0536253378136076,1.0030175948483961,27.41755,0.9011648,1.0015854,23.43374,0.95304084,0.98330027
0,28.358520921014225,1.0614240913016846,1.0735529323406947,28.38033,0.8000151,0.9884927,22.275093,0.91081935,0.9057817
0,26.30077811687832,1.0168207938774656,0.9977107888214657,29.317715,1.0842774,1.0600164,25.654343,1.0357355,1.0178034
0,25.66185436716374,0.9009814234888877,0.8868050963819113,26.752373,0.8938745,0.84126014,23.509155,1.043108,0.92913324
0,24.598168370965254,1.0228170165288302,1.0369629525391029,29.246254,0.91344637,0.8661519,21.009512,1.0274489,0.7536616
0,28.369628074990008,0.9357642632477843,0.9770223035433491,29.4921,1.0454042,0.8593908,24.121946,1.0358386,0.9563669
0,27.70828066195865,0.9629304642549258,0.9189166659318039,29.55541,1.0208683,1.0547819,24.189058,0.9087105,0.9278405
0,32.61469219555351,1.0640039722635188,1.0858059994300575,29.435732,0.9062393,0.9436447,21.599422,1.0470563,1.0573447
0,30.448901312995478,1.0016376584469424,1.0271623293159746,35.445103,1.0435536,1.2342782,21.171974,0.9743857,0.9795794
0,22.56583648409705,1.056594054279717,1.0717713334338483,29.022264,0.9393452,1.0108196,32.252842,1.0347923,1.0633186
0,24.219975170799646,1.0138732210977661,1.0286112885038836,30.488626,0.99547523,0.85080653,22.994638,1.0105716,0.95293117
0,35.57501040248665,1.0365462514481751,1.0141250282979135,33.408215,1.0034443,0.99562085,27.979733,0.96592104,0.97384167
0,23.680518726385973,0.998439585542848,0.9418670064660504,29.813192,0.9319855,0.8852318,33.65328,0.85427296,0.89663404
0,27.174914569680933,1.0196737721511235,0.9675734724949024,27.15392,1.0539616,1.0065265,22.18017,0.9098371,0.8948832
0,22.12792176671593,0.9119794526113819,0.9312430773154324,27.233334,1.056236,1.0159725,22.604328,1.0033928,1.075675
0,25.78833582438187,0.987865497247754,0.9857934825232639,29.745964,1.011131,0.98645616,29.158827,0.92566806,1.0411777
0,24.32188291805872,0.8858843266144018,0.8432373541011255,27.558487,0.9340395,0.974691,23.094168,1.0073678,1.011703
0,20.949117271951113,0.8838152966741383,0.886700210203552,28.93526,0.98924536,0.96821344,21.286953,0.90059227,0.9011686
0,24.59954044842853,0.9426601964058654,0.9208845656835463,26.034618,0.9873861,0.95463353,24.923357,0.9104531,0.9824831
0,29.627439909744695,0.9803319070548464,1.0205866447811804,28.221266,1.0759075,0.9049087,23.84935,0.97902685,1.0275439
0,35.682721078489166,1.0514231537246899,1.0949811856593803,34.765255,1.1288362,1.1540679,22.332964,1.0366558,1.0674264
0,30.85982135642018,1.0578349656852606,1.0251735966841142,32.300922,1.0219207,0.96608657,26.817518,0.82615197,0.9270637
0,30.2804173742655,1.025346094805725,1.0724705525017857,27.60937,1.0230284,1.0799674,25.685474,1.0175009,0.9191687
0,26.001566353594622,0.9174711872982488,0.8987585219011777,26.29883,0.92977387,0.8968444,25.328787,0.9689953,0.94804776
0,21.283349066673175,0.9216720027627395,0.9063195160871096,31.817402,1.049239,1.0301379,26.405846,0.93612576,1.1451856
0,28.456102618752933,1.0457931683096118,0.9827769367744805,28.815346,1.0315408,1.0850374,25.33703,0.8339495,0.9026514
0,23.02270188773147,1.0054093121888414,0.9732466326441334,38.131943,1.0259235,0.967479,25.652693,1.0075312,1.0024061
0,34.84619464319319,1.0859975480884003,1.1390397425782972,33.0085,1.0163591,0.80517596,33.05217,0.9591487,0.91179687
0,23.48088857279133,0.7907955370268953,0.7406636727531204,26.274178,0.94209445,0.9410921,30.53267,0.9356107,1.144647
0,35.513447766943244,0.9123443211805934,0.8814009951090692,30.078592,0.99632496,0.9989668,28.372335,1.0310475,1.0400771
0,24.794663562931568,0.9937926021446428,0.9366155413446253,31.158882,1.0258894,1.1682256,23.958607,1.0602047,1.0575581
0,29.14455979475926,1.051766634260694,1.1059987046847577,35.15821,1.0670587,1.08548,24.893038,1.0404365,1.121655
0,21.981546305259215,0.8702341245630039,0.8331481880889305,29.343357,1.0027335,1.0322479,27.944317,1.0326567,1.0226992
0,24.521199102802978,0.8680258088056896,0.8428241671817975,25.660528,1.0519023,1.0472361,24.886303,1.0354466,1.034381
0,24.135974658594687,0.9360774732790683,0.9495776278608206,30.516893,0.99254274,1.0668886,26.811071,1.0111521,1.0240407
0,20.42418259048624,0.8971036453890205,0.8885522764283729,29.625639,0.98959863,0.85695773,28.522438,1.0765699,0.953473
0,29.111044488056745,1.1347373347147716,1.1593470481956905,25.833593,1.0202918,0.90272874,28.518888,1.0159969,1.0797048
0,30.26049955472977,0.9192685844036509,0.9926682763160262,31.20467,0.8363934,0.9863545,24.89589,0.992908,1.0570235
0,27.964450727344722,0.9675102334655414,1.0519736881594044,29.091536,0.95649946,0.8986775,34.796867,0.968716,0.99756473
0,38.435581813219336,0.8488651100107589,0.7573493695432651,24.052065,0.8696086,0.7367577,32.522614,1.0410767,0.98622686
0,28.77595301180349,0.9194463987846896,0.8954082278475102,36.058514,1.0441765,1.0691988,27.376543,1.0453341,1.0377214
0,28.25610048941135,0.9702207861012547,0.9665323779683734,32.1402,1.0266794,0.9040488,28.988522,1.0099928,0.9227829
0,23.285260398759632,1.0303247701961105,1.0300588891601663,31.972403,0.96103185,0.82556385,34.291283,1.0907481,1.1772203
0,23.810813516083,0.8903882001255142,0.8392993534655553,27.9545,0.8818716,0.9810834,27.096521,1.0059843,1.1204703
0,21.122308477844232,0.8146018777977908,0.7637967154525849,25.321747,0.852139,0.895831,28.788374,1.0312396,1.03012
0,21.106585873402583,0.9015439483187945,0.9113223692867676,25.856367,1.0013809,0.9964146,24.30086,1.0355483,0.91109097
0,22.275970960606774,0.9973745829842643,0.9674681374795162,27.372915,0.9468301,0.9664083,29.514933,1.069384,1.0461303
0,31.353262707559335,0.9676727351252019,1.0252229565048236,32.05805,1.0111074,1.0648327,26.915966,1.0477313,0.95117295
0,30.156260801737496,1.112038144485194,1.0979270373560897,38.598038,1.0603131,1.075253,28.054764,1.0700336,1.0448895
0,25.408633605059382,1.0242529691508777,0.9988901508586365,31.654396,1.083864,1.2418727,29.653969,0.97124046,1.0327305
0,36.53728231720137,1.1908332044618444,1.2290892617939673,26.184532,0.9329631,0.9137051,29.932016,0.919698,1.1655594
0,28.000335929259187,1.0315501245449075,1.0140375146763656,30.725655,0.98236406,0.9299704,25.309025,0.939529,0.92454237
0,27.84117304880686,1.067058410615439,1.0868438764491453,30.605946,1.0129913,0.8800988,30.519096,0.96655023,0.97732174
0,27.395513101147323,0.9765250484021385,0.9956766051865832,33.28483,1.0949692,1.0455859,25.333414,1.024748,1.0587795
0,25.04213446778606,1.0635969728072474,1.042969531752288,29.452862,0.9982562,0.9577317,28.351553,1.033471,0.8932336
0,26.543223662344626,0.8644440703557417,0.8197446886026927,36.33535,1.0435057,1.0653852,34.16443,1.0026879,1.1219872
0,30.467807337294268,1.0451499795565053,1.093104645338475,30.118853,0.9307122,0.91517764,25.39565,1.0562804,1.0905426
0,33.207894286423986,1.1443757367201624,1.1094644156337066,29.567436,1.0428605,1.0190378,31.23784,0.99804527,1.0326376
0,29.624026740944274,0.9709680817546396,0.936826728038319,34.52525,1.0051056,0.8610635,24.909592,0.9752728,1.0693316
0,22.004032157957354,0.9886258762932372,0.9669523885438966,30.636496,0.9488586,1.0080383,33.297775,1.0430945,1.0571537
0,24.06936312694071,0.9994314201354069,0.9796982172494417,29.546074,1.0407528,1.2045074,26.181814,1.026249,1.0512226
0,37.79633273081199,1.1381450597559946,1.1590092346491212,31.151747,1.02264,0.94729507,31.82605,1.0174654,0.8737204
0,25.542628841531286,1.0002908734672367,1.063574445218956,32.557503,0.9512318,0.9015591,32.505596,1.0384225,1.0148058
0,29.92553914163807,1.1062618747497448,1.1534360797575685,29.887133,1.0129073,1.1299989,28.792992,1.0228643,1.1182905
0,21.49341876708217,0.8458567310539615,0.8253423844214207,27.592144,0.9853509,0.9062167,25.09448,1.0045106,1.1413783
0,25.981500210010854,0.9512962538320151,0.953611303753109,25.36033,1.0152967,0.99425745,31.391607,1.018461,1.1031296
0,28.133925400671902,1.0543608608745543,1.1107810004431233,34.58142,0.99031323,0.95898396,23.654863,0.9681784,0.9454533
0,22.32683562717361,0.96568925694329,0.9627909350569038,30.689737,0.9902258,1.0965717,27.833256,0.9972249,0.91741836
0,25.818296728925876,0.9585110669250159,0.9861037930251192,28.331608,0.9594689,0.9814034,28.627136,1.0442784,1.0279058
0,26.355655198243877,0.7970957054127872,0.7559956987723853,34.019066,1.0112079,0.9577352,27.729362,1.041294,0.9195889
0,33.413542682021486,0.9851900713166257,0.9143169124572917,35.11228,0.989931,1.007021,27.12234,1.0050629,1.0505967
0,29.23537093063051,0.8325724689231127,0.872041869763734,36.93783,1.096807,0.902304,25.100815,0.97881275,1.0535679
0,28.700150435279635,1.0089798959403897,0.9365305144648155,26.44125,0.99096614,0.94265515,23.966095,0.9787892,1.0376308
0,26.953083097624813,0.9056535550620644,0.9315001552623675,27.796732,0.99148786,1.014305,28.32633,0.8792147,1.0340842
0,23.073023528864983,1.0027663437507528,1.0219812556826253,32.994392,0.97404975,0.9018142,27.80962,1.0070356,0.96769345
0,29.87335484435211,1.0028145717287176,1.0646944670682188,27.917807,1.0070406,0.97308046,30.865025,1.042152,1.0155232
