,ytrue_Euc,ytrue_cor,ytrue_cos,ypred_Euc,ypred_cor,ypred_cos,ypred_Euc_shuffled,ypred_cor_shuffled,ypred_cos_shuffled
0,24.12261671781687,0.9052887319328579,0.9265743763719932,33.523033,1.0664576,1.117219,27.465235,0.98322064,1.0489546
0,23.19599052349841,1.0062403984126864,1.0295183217548056,37.386444,1.0645386,0.9846094,28.67818,0.9361632,0.9835886
0,32.91297772697196,1.0866507014660318,1.0182635380204295,33.987305,0.9306049,1.0228764,27.03401,1.0183465,0.9148303
0,26.500034894889453,0.9426565543844793,0.9984848085032167,32.1206,0.8851691,0.872846,25.854649,0.98871666,1.1284074
0,34.569491823811575,0.7880391349554271,0.815661043683839,28.425682,0.98638505,0.9415536,24.941124,0.95069224,0.9092345
0,25.587998814126617,0.9959582213268684,1.038374678579545,32.4949,0.96020263,1.1038816,28.009481,0.87820715,0.8733118
0,26.545532379603852,0.9938038269162414,0.9402320096046056,31.97412,0.9490106,0.9130944,26.188948,0.9323686,1.0814862
0,22.827663860475084,0.8864218084841043,0.9221998608225103,33.948273,0.93923616,0.8656088,22.50917,0.9145797,0.987117
0,26.58131454799877,1.0128488112409662,1.0341663188785863,36.17035,1.0168302,1.0587429,29.625053,0.9676096,0.9737793
0,24.03882903417426,0.9853374833348596,0.9746718656206165,30.628763,1.1049547,1.0269574,32.681343,1.0711591,0.97653425
0,20.439365373661918,0.9319780919366778,0.939474386560134,33.53702,1.0592228,1.0620035,31.599375,1.0331075,1.1255388
0,27.372633971326625,1.0696165973983647,1.0438555328918089,30.547783,0.7974059,0.8947105,29.876833,1.0636438,1.0015881
0,29.159614784970778,0.9996803619151405,0.9379704842257701,34.474224,1.0828658,1.081891,26.513252,0.91581947,1.001782
0,25.968601086840984,1.0067833289990573,0.9300979281579972,28.832458,0.95035833,1.0905659,27.313663,1.0422516,1.0765156
0,43.61213460935232,1.038995808074409,1.1004582197473685,33.56279,1.0283989,1.0117378,25.463005,0.94487864,1.0627407
0,30.147380025060837,1.0020867401127977,1.0213532393896136,36.551575,1.0300916,1.0070176,29.37996,0.9988535,0.9640517
0,26.422970480125407,0.8451610865517376,0.849181811329527,30.953758,0.9968149,1.1120543,31.340199,1.0969677,1.078288
0,22.737089042941108,1.0237345549869725,1.0227814492412113,31.150461,1.0086902,0.96355313,31.383615,1.0451005,0.9888824
