,fullFit_ytrue_Euc,fullFit_ytrue_cor,fullFit_ytrue_cos,fullFit_ypred_Euc,fullFit_ypred_cor,fullFit_ypred_cos
1080,34.07557535619498,1.0985155476699808,1.065495561647829,31.790586,1.0969005,1.0845984
1081,23.635311164211544,0.9389781160751625,0.8813946742113983,23.617395,0.9397583,0.881747
1082,23.79453523089776,0.7762267832363896,0.7377172528303508,24.062279,0.8301789,0.82182574
1083,23.21345721953469,0.9230968461699754,0.9463466962854427,23.192251,0.92316633,0.9479305
1084,26.72025057062255,1.1615157506655518,1.1530179002646856,26.695272,1.1617544,1.1533647
1085,24.78295016967616,0.9456200318276753,0.88593395150707,24.749193,0.9423268,0.88459
1086,22.755828553240885,0.9846900173838621,0.9866274832615776,22.756573,0.9837276,0.98767275
1087,22.535164581121474,0.7884159359467054,0.7651007564196615,22.546846,0.78897154,0.7667379
1088,27.812212217327144,0.9185199852622173,0.975414116549225,27.77807,0.91886884,0.97667545
1089,34.11546479636316,1.076515579264034,1.132675657969099,32.21492,1.0505188,1.094293
1090,30.72151180525919,1.1140907030143405,1.0720864434203605,30.713377,1.1128848,1.0703437
1091,29.313962125638692,1.0570929546980856,1.1178359928467978,29.393837,1.0577831,1.1177065
1092,28.83602257060975,1.1790283812738793,1.1470494097495532,28.81944,1.1785973,1.1456485
1093,22.084326983017917,0.917091393583208,0.898555598683908,22.081484,0.9198187,0.8987709
1094,28.13701694945309,1.0398112833373507,0.9685218070651778,28.107279,1.0381418,0.9695562
1095,25.833703445391823,1.0661176442068765,1.0269044059710948,25.824406,1.065879,1.0300024
1096,25.68228023538351,0.9655584371048924,1.0113105506739273,25.723217,0.96792936,1.0121708
1097,26.65891923451387,0.9562736984411839,0.9379866573010129,26.63332,0.9557331,0.9353771
1098,28.408193349868736,1.1167375125326178,1.091485679139332,29.42856,1.0994769,1.0587481
1099,17.10499029336775,0.7442390360004789,0.7336907912095354,17.306934,0.74522024,0.73575306
1100,21.461059517371126,1.0445228639015989,1.0313565006700909,21.450216,1.0437369,1.0285138
1101,32.360191505568025,1.0783847749284248,1.0982156891884598,29.256882,1.0604935,1.0685469
1102,21.9618511943146,0.8968822783581052,0.9538887321242556,21.958584,0.895123,0.95529187
1103,25.69873888617917,0.9912515593689792,1.0344780912798015,24.079735,0.986496,0.999588
1104,20.037076493519507,0.9253197023525337,0.9107832535181408,19.982288,0.9255927,0.9104737
1105,23.19029059872933,1.0877838461580827,1.0919154197400305,23.127289,1.0869012,1.0910412
1106,25.499770527248632,1.116560645195219,1.1522151923864286,25.555826,1.117524,1.1538996
1107,20.283683517139455,1.038843475232343,1.0373194716739835,20.17382,1.0381286,1.0323626
1108,23.498867020698487,1.009789503024344,1.031346211006138,23.479033,1.0092039,1.0298826
1109,25.90746924033716,1.0498241163014732,1.0092295651133165,25.827158,1.0477307,1.0092555
