,odor1,odor2,response_euc_distance,feature_euc_distance,response_corr_distance,feature_corr_distance,response_cos_distance,feature_cos_distance
1248,439570,440917,24.85921887962826,21.60681406575218,0.9566982172673584,0.6186648952097585,1.01576760451406,0.6210202767635006
1249,439570,536095,27.246235146068624,25.601500336749524,1.1573368815158622,0.9663454528220382,1.1283358653974291,0.9714181200038926
1250,439570,637511,25.954135844888945,29.358096374982015,1.1070306577008866,1.0698141721352032,0.9206341840177289,1.0672867840132712
1251,439570,637523,25.322930832281372,26.348906004844007,1.1545464823708298,1.0186324828726088,1.1470568299383639,1.0224687876754988
1252,439570,638011,24.174201325132405,25.571228473258632,0.8975665731272319,0.9043430459086911,0.8308404631814416,0.9051373745623894
1253,439570,638014,31.52680494034069,24.1734686042581,1.0780733414898471,0.8673221332290956,1.1988412597853564,0.8706537965968836
1254,439570,2723888,35.58744639345846,34.60673966386186,1.036560394301052,1.0499982577802247,1.1950778360754908,1.0431145077091437
1255,439570,5281163,30.105224408118517,28.01559554970967,1.0947860248051045,1.0834996715360572,0.9894074340181737,1.0844389291209273
1256,439570,5281517,31.58936210671325,24.33549028928934,1.0801725653859124,1.0820491483157613,1.2386561679359933,1.0811493242617911
1257,439570,5319754,29.19877669482388,25.1476913795013,1.2068017905936905,1.0300371992049557,1.1183446123318934,1.031162037984841
1258,439570,5367745,22.697945425353254,25.864388204894798,0.9232102580035024,1.0054183989661303,0.8780027387688063,1.0079141654167802
1259,439570,6433451,26.564960915169056,28.584582224888326,0.9976668638591036,1.246129193103815,0.8270455097647953,1.2462472557336037
1260,440917,536095,22.932437249969766,23.708180492770865,1.1268944982094218,0.9830017369010603,1.1316453831073152,0.9684432672747573
1261,440917,637511,24.626830412828337,27.998009075580363,1.0799066813150735,1.091938884923391,1.1335524633433547,1.098613517300194
1262,440917,637523,19.79980588655357,25.072898130440237,1.0591505247292914,1.0915251891338278,1.0568644732168275,1.0740554499734711
1263,440917,638011,23.39762368383123,24.995454249423062,1.0540019053175627,0.9981583724553482,1.080762659178893,0.9956572884076068
1264,440917,638014,24.13156258669432,23.917411185170472,0.9580898882731311,1.005105094757412,0.9123836885929424,0.9967773417260956
1265,440917,2723888,27.143339343613896,33.54875782202307,0.8668201262105726,1.0551434077545585,0.8197492882815152,1.071181418303891
1266,440917,5281163,28.18786904781258,26.15343114111242,1.0802409660401637,1.0888070664946259,1.1122934912301847,1.084659734022838
1267,440917,5281517,24.152978923452917,19.731289757038386,1.0183798984072285,0.8441487155488379,0.9523320969819419,0.8305339592375036
1268,440917,5319754,24.73201696738191,24.33831118229962,1.0560801638020516,1.1470300316788447,1.0802964647712323,1.1422459442941917
1269,440917,5367745,20.110927673673363,23.834742366165784,1.029529172312252,1.0055328132340584,1.0481658541944014,0.996537696041535
1270,440917,6433451,26.699126150022654,24.583496445356253,1.0291086401140885,1.0678558593777823,1.0892309169848102,1.0670727483764109
1271,536095,637511,23.490014044927996,26.734166540041315,0.9527055139380058,1.0996309530623314,0.9386810244429823,1.1199117410589938
1272,536095,637523,21.186836490866646,21.930168456842026,1.0651164888293265,0.9866343427839435,1.0655553118559917,0.9401738508522614
1273,536095,638011,24.92707818571247,24.56854079802318,1.124963018555162,1.1012829562878061,1.1138218135505022,1.0909794968869775
1274,536095,638014,26.521239931905953,22.60219198978583,1.0133758321474435,1.0494797577509718,1.0272100770267965,1.022081003101728
1275,536095,2723888,28.693139376150313,31.732452261656032,0.8487065867748154,0.9709234545841152,0.8816331805868443,1.0290992427534544
1276,536095,5281163,26.68205938039545,21.538959040848205,0.9256532197205196,0.840681520260207,0.9173757570210548,0.8328162147952538
1277,536095,5281517,25.511998111914842,19.902490894609592,0.9595291219014634,1.1575463940274822,0.9830850515267351,1.0277652792148566
1278,536095,5319754,23.863295664700402,21.568618429004463,0.9258701150771668,1.056242532270098,0.9194012877605434,1.0417882551541338
1279,536095,5367745,20.978859287789458,20.275764330958026,1.0137385977775604,0.8520270208204851,1.0078165930532132,0.8288135045348399
