,cid
599,15413
600,61000
601,66654
602,80353
603,445070
604,578423
605,10176244
606,12529
607,161949
608,7276
609,69669515
610,166374
611,71587283
612,6438291
613,86114
614,5702619
615,10099
616,11970928
617,12566
618,13233
619,5367807
620,20307
621,86651
622,62089
623,5362816
624,6532
625,5364532
626,12201
627,11747
628,109261
629,62143
630,5368064
631,57658745
632,101010
633,206037
634,93947
635,102579
636,101145
637,20263
638,70264
639,5462980
640,91850
641,5367676
642,10655819
643,5382490
644,5366264
645,643139
646,15405344
647,5352461
648,13335685
649,1127
650,21458
651,6951704
652,57357909
653,550851
654,61337
655,11487
656,7711
657,61284
658,82584
659,81573
660,637195
661,61228
662,27892
663,7592
664,6433547
665,640199
666,61982
667,12531
668,11251
669,8797
670,439314
671,22831877
672,521207
673,79086
674,526195
675,77129
676,93596
677,4574094
678,14350
679,6435861
680,5367687
681,637775
682,65285
683,24521
684,11735763
685,68133
686,518700
687,6433417
688,8452
689,91115
690,36502
691,7870
692,49988
693,151276
694,8723
695,7567850
696,36822
697,95485
698,121731
699,6427087
700,62326
701,14475
702,21999737
703,61035
704,80388
705,6826
706,12658
707,98330
708,27866
709,520722
710,70775
711,7938
712,586728
713,11550267
714,6450930
715,61379
716,94314
717,6992244
718,160065
719,10569
720,19137
721,5364517
722,5363231
723,6428543
724,16832
725,90818
726,98492
727,71587866
728,6437291
729,5280450
730,3019960
731,878
732,5362593
733,6442059
734,68150
735,7016
736,27460
737,136330
738,53822360
739,6556
740,109187
741,6535
742,11658402
743,6431196
744,3032557
745,87453
746,1254
747,6971249
748,102895
749,31353
750,32093
751,78120
752,8138
753,5362561
754,102968
755,94060
756,6385721
757,25612
758,7041
759,10345
760,22251515
761,8712
762,7076215
763,525032
764,75809
765,19602
766,35960
767,521380
768,60998
769,80395
770,22310
771,20797
772,12678469
773,7059
774,6951711
775,10322
776,62375
777,5832948
778,529497
779,94310
780,526487
781,53422473
782,7916
783,107059
784,521903
785,10137
786,12146
787,112721
788,521064
789,637563
790,4447651
791,12053
792,15667721
793,85073
794,11233
795,442793
796,7416
797,12385
798,10408
799,31245
800,5282109
801,24510
802,8834
803,347577
804,3283
805,7422
806,8118
807,7655
808,7910
809,7600
810,12339
811,549546
812,5463905
813,11084123
814,84398
815,109828
816,637759
817,15173
818,114419
819,439250
820,7918
821,7779
822,57373560
823,16205756
824,993
825,5283329
826,38689
827,62144
828,31249
829,7336
830,8294
831,8434
832,70971
833,23367
834,10819
835,83763
836,175381
837,106997
838,162027
839,30215
840,243799
841,166343
842,5281673
843,109245
844,104421
845,16205456
846,61809
847,14195263
848,7584
849,20083
850,6429302
851,8468
852,527144
853,156273
854,5367474
855,5352905
856,5366239
857,16800
858,61874
859,95572
860,19089
861,85755
862,71587638
863,578817
864,13594
865,44630408
866,6422476
867,80354
868,289151
869,111213
870,5368103
871,10050
872,92776
873,86015
874,77547
875,22219099
876,6430892
877,86094
878,1004
879,101679
880,61895
881,15380
882,7664
883,6453284
884,7969
885,1712058
886,162275
887,8205
888,6430879
889,3034267
890,518937
891,5367806
892,114453
893,107152
894,45086247
895,166220
896,139711
897,10400
898,15574
899,71438214
900,5803450
901,81739
902,78435
903,579675
904,522771
905,78067
906,6450542
