,odor1,odor2,response_euc_distance,feature_euc_distance,response_corr_distance,feature_corr_distance,response_cos_distance,feature_cos_distance
857,10430,5281517,22.618715370321198,5.999799641292175,0.9846468013883485,1.1234385748813653,0.7997079024789009,0.805744159758646
858,10430,5319754,24.489144523020787,5.448716793720206,0.9334059899563685,0.7304457185999815,1.0160404705529256,0.5431330687013276
859,10430,5367745,22.070875346473265,6.606080605693917,1.1526493111513838,0.7756176519502975,1.1936543518002893,0.7337097968748425
860,10430,6433451,28.915444222306586,8.670781694058933,1.0671474692345027,0.6285510919198412,1.240856232616043,0.7086334779920341
861,10925,11583,18.21187056070673,8.91373963103105,1.0236274675560402,0.5867695716047368,1.0345234766546887,0.666613674568616
862,10925,15510,24.859706957481283,3.6115717035355708,0.8989902271630076,0.0689757531740296,0.8826340039053961,0.07344804773906
863,10925,16666,25.55271575916014,12.061954097102362,1.1483556062558526,1.040886292786381,1.151660867631041,1.0172690755094982
864,10925,16724,21.704638652852104,12.452713677246937,1.0700828329044216,1.307302663933121,1.078228815561563,1.3059920321702423
865,10925,16867,29.816336870327902,12.100184024781722,1.1741632921823957,1.057523581487839,1.1390710086619151,1.0491343113079572
866,10925,19310,21.965463604270077,8.718975923958222,0.9690317098496299,0.5187200011382036,0.97474703992337,0.5996426982084782
867,10925,27457,22.23152807242458,22.88093865967902,1.1115662693738737,1.2064478152098688,1.0985138160316965,1.268401289548862
868,10925,31244,22.21805790399284,15.754303172701373,0.9888048548378816,1.4705066305955863,0.979557346675622,1.4867051428287834
869,10925,31252,20.24698869800977,22.716950349284712,1.0798903314610253,1.2057913406788847,1.0861088398442234,1.2678028692120027
870,10925,31276,23.806264651628428,10.474183316138278,0.9809403978665139,0.9309274100792878,1.0019966588647848,0.8672269658119947
871,10925,32052,24.02212293634325,12.512795298412634,1.0468824287717213,1.3346738008771797,1.0188336652471592,1.3339120658966077
872,10925,61653,26.83092150812478,14.580059542556103,1.0852726331458227,1.2520711325841023,1.0946850077110166,1.2978922576206606
873,10925,80080,25.119032203241314,13.048873175951856,0.9384267701651319,0.9229212865647547,0.9523601216859187,0.904879263116629
874,10925,122370,18.08731946585796,2.371981931782381,1.0243558360804206,0.02683979431689676,1.032168793918684,0.02681885166634901
875,10925,162148,19.58521210493226,12.514224589332425,1.0431152131720802,1.0863804021388042,1.0498874155709992,1.092099541932634
876,10925,165675,31.061357586027107,12.061954097102362,1.1501941444793267,1.040886292786381,1.1345331471928761,1.0172690755094982
877,10925,263626,20.96763458352004,12.50533300449672,1.073422426592482,1.0851550382775716,1.0399068758643608,1.093622619882161
878,10925,439570,23.864086496994766,12.452913953194733,1.0588382845137452,1.3072359134773843,1.0300961018958374,1.3059082456361977
879,10925,440917,18.861953308019356,11.135180585847348,0.9792346515196753,1.2012765359848208,0.9884119646902935,1.1515704368480324
880,10925,536095,19.79808795874491,12.091902823652651,0.9552731841772449,1.1335273179281165,0.9527136482481923,1.108866518300423
