,nAA,nBM,nAB,nN,N%,nCsp2,max_conj_path,RCI,NRS,NNRS,nR06,ARR,AP,D/Dtr06,Qindex,PCD,GATS8m,GATS8v,GGI4,P_VSA_LogP_5,P_VSA_MR_6,P_VSA_e_3,P_VSA_i_4,P_VSA_ppp_ar,P_VSA_ppp_con,P_VSA_ppp_cyc,P_VSA_charge_4,HOMA,CMBL,AROM,nRCOOR,nRCHO,nOHs,nSH,nPyrazines,C-025,C-028,C-036,O-060,S-106,SsSH,NsSH,minsSH,MaxsSH,T(N..N),B01[C-N],B02[C-N],B03[N-N],B07[C-O],F01[C-N],F02[C-N],F03[C-N],F03[C-O],F03[N-N],F07[C-O],G(N..N),Uc,Ui,MDEC-33,MDEO-12,MDEN-22,nLevel6,phLevel1,s4_numSharedNeighbors,s4_numRotBonds
165675,0,0,0,0,0.0,0,0,1.0,1,1.0,1,0.0,0.0,34.3809523809524,7,0.0,0.0,0.0,0.493333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.60359521760002,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,3.14734519026494,0.0,0.0,0.0,0.333333333333333,2.33333333333333,0.666666666666667
263626,0,1,0,1,5.26315789473684,1,0,1.0,1,1.0,0,0.0,0.0,0.0,6,0.338773733609492,0.0,0.0,0.0,16.7855295481303,1.12190656268228,16.7855295481303,16.7855295481303,0.0,0.0,50.1269772743607,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,1,1,0,0,2,3,1,0,0,0,0.0,1.0,1.0,1.88988157484231,0.0,0.0,0.0,0.5,0.0,0.0
439570,0,3,0,0,0.0,5,4,1.0,1,1.0,1,0.0,0.0,34.3809523809524,7,0.63907995928967,0.0,0.0,0.653333333333334,6.3711499014801,27.2715472298826,0.0,0.0,0.0,42.9402267888702,22.8643632348525,0.0,-0.218664432897297,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,0,0.0,2.0,2.0,2.94168275343288,0.0,0.0,0.0,0.0,2.0,0.0
440917,0,2,0,0,0.0,4,0,1.0,1,1.0,1,0.0,0.0,30.5142857142857,6,0.487143139122431,0.0,0.0,0.382222222222222,6.3711499014801,22.1380698976003,0.0,0.0,0.0,0.0,20.2654176417702,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.58496250072116,1.58496250072116,1.31037069710445,0.0,0.0,0.0,0.0,2.0,0.0
536095,0,1,0,0,0.0,2,0,1.375,1,0.5,1,0.0,0.0,24.1559523809524,11,0.335712069347816,0.0,0.0,0.441111111111111,0.0,0.0,0.0,0.0,0.0,0.0,43.4868024612731,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,5,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.33333333333333,0.0,0.666666666666667
637511,6,8,6,0,0.0,9,10,1.0,1,1.0,1,0.6,0.6,31.4968253968254,4,1.71912969394364,1.61356213105042,0.376263320398287,0.151111111111111,3.18557495074005,50.5668123178907,0.0,0.0,50.5668123178907,106.088384152141,50.5668123178907,0.0,0.61349611717998,1.39491546338837,0.999888292700227,0,1,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,1,0.0,3.16992500144231,2.58496250072116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637523,0,2,0,0,0.0,3,4,0.0,0,0.0,0,0.0,0.0,0.0,2,0.330241686870576,0.995226741611296,1.07372721128209,0.24,14.1854628383465,10.3769054268666,0.0,0.0,0.0,44.9980799327144,0.0,0.0,-0.221391887881641,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,6,0,1,0.0,1.58496250072116,1.58496250072116,1.0,0.5,0.0,0.0,0.0,0.0,0.0
638011,0,3,0,0,0.0,5,4,0.0,0,0.0,0,0.0,0.0,0.0,2,0.792519654373149,0.446557165117429,0.51151927737986,0.16,6.3711499014801,6.3711499014801,0.0,0.0,0.0,49.2308993115603,0.0,0.0,0.0576219968819244,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,1,0.0,2.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
638014,0,3,0,0,0.0,5,6,1.0,1,1.0,1,0.0,0.0,47.7079365079365,9,0.831931605750717,0.355603676353068,0.260292137868308,0.724444444444445,6.3711499014801,11.5046272337624,0.0,0.0,0.0,55.6020492130404,13.9747451190801,0.0,-0.0217499695990633,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,1,0.0,2.0,2.0,1.31037069710445,0.0,0.0,0.0,0.0,0.0,0.0
2723888,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,0.0,1.1772522887089,0.893864388661857,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
5281163,0,2,0,0,0.0,3,4,0.0,0,0.0,0,0.0,0.0,0.0,2,0.419853845560264,0.0,0.0,0.16,14.1854628383465,10.3769054268666,0.0,0.0,0.0,44.9980799327144,0.0,0.0,-0.223923521680349,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,5,0,0,0.0,1.58496250072116,1.58496250072116,1.0,0.5,0.0,0.0,0.0,0.0,0.0
5281517,0,4,0,0,0.0,8,4,0.0,0,0.0,0,0.0,0.0,0.0,3,0.877532721574751,0.785416666666668,0.785416666666667,0.24,9.55672485222014,41.0905648444606,0.0,0.0,0.0,44.1956624164106,0.0,0.0,0.218986477596461,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.32192809488736,2.32192809488736,0.595275394488075,0.0,0.0,0.0,0.0,0.0,0.0
5319754,0,2,0,0,0.0,3,4,0.0,0,0.0,0,0.0,0.0,0.0,1,0.544727175441672,0.0,0.0,0.08,3.18557495074005,3.18557495074005,0.0,0.0,0.0,49.2308993115603,0.0,0.0,-0.124318016943345,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0.0,1.58496250072116,1.58496250072116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5367745,0,2,0,0,0.0,3,4,0.0,0,0.0,0,0.0,0.0,0.0,3,0.393488917061449,0.0,0.0,0.32,14.1854628383465,10.3769054268666,0.0,0.0,0.0,44.9980799327144,0.0,0.0,-0.220903323001501,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,5,0,0,0.0,1.58496250072116,1.58496250072116,1.65096362444731,0.5,0.0,0.0,0.0,0.0,0.0
6433451,0,1,0,0,0.0,2,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.318453731118535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.563628990611,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,3.91385802469136,1,3.91385802469136,3.91385802469136,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
