"","cid","auc"
"1",264,0.879465881685345
"2",454,0.935491613791747
"3",460,0.896556538539184
"4",650,0.506930419899553
"5",1049,0.818366443842335
"6",2879,0.749061995101083
"7",6054,0.593632800723545
"8",6387,0.898898725726394
"9",7410,0.60188949139183
"10",7762,0.912954948511542
"11",8130,0.714460879158567
"12",8500,0.861122108647663
"13",8842,0.523409090909091
"14",15510,0.945163964943737
"15",16666,0.594177129650209
"16",16724,0.694093655610238
"17",16867,0.568310654347029
"18",19310,0.860231898578175
"19",27457,0.83723581445254
"20",31244,0.790837460375333
"21",31252,0.775989627030738
"22",31276,0.585995849454153
"23",32052,0.608226651532968
"24",61653,0.81996899957291
"25",80080,0.811333160036145
"26",122370,0.829448252466584
"27",162148,0.676822846943329
"28",165675,0.818694670536351
"29",263626,0.656318903768296
"30",439570,0.488305765916381
"31",536095,0.771873328877005
"32",638011,0.613863837410496
"33",2723888,0.799648997721417
"34",5281517,0.614717842584132
"35",5319754,0.58974313680116
"36",6433451,0.805965033686739
