"","cid","auc_min","auc_1se"
"1",16867,0.583245784851988,0.363446347799712
"2",7410,0.903672501028881,0.807932535182154
"3",5281517,0.704295565269549,0.371287310293045
"4",162148,0.826233586782646,0.528386881716826
"5",263626,0.518145229790029,0.362726222564497
"6",122370,0.863121077699871,0.847451092622498
"7",80080,0.852044004351917,0.786932486473771
"8",2723888,0.819493417723552,0.801305310800716
"9",31252,0.793330327731513,0.642138192044137
"10",27457,0.865808778391651,0.775289287906691
"11",5319754,0.746188852768161,0.396691786990909
"12",6054,0.600479219198876,0.377623474213742
"13",8500,0.816158098065611,0.761210560770068
"14",32052,0.723471911435638,0.389826226917162
"15",264,0.906771963196085,0.822583846152672
"16",8842,0.625465368952103,0.420950910223681
"17",650,0.550844074049081,0.397330566614931
"18",19310,0.866895035681154,0.844189283982525
"19",7762,0.897969539618654,0.868184298514518
"20",460,0.821713530572554,0.641667438431015
"21",8130,0.732345974413236,0.398666704742209
"22",31276,0.631861415416138,0.348255759805348
"23",439570,0.779166334793575,0.391758927386168
"24",16666,0.718004474237161,0.362790282457872
"25",61653,0.850284633653402,0.795724550931315
"26",454,0.937477098956934,0.768639413407594
"27",2879,0.769973892650117,0.489596884817912
"28",16724,0.809447027005392,0.389631970770366
"29",165675,0.798257369000097,0.767866547307383
"30",1049,0.845588757559081,0.77789008442454
"31",6387,0.911956689552456,0.857723272667829
"32",536095,0.848366381036138,0.662159870338543
"33",31244,0.810240563380282,0.693239436619718
"34",638011,0.572504871937639,0.416054774498886
"35",15510,0.945871969761864,0.907057751199246
"36",6433451,0.866657573249047,0.773714222105158
