,ytrue_Euc,ytrue_cor,ytrue_cos,ypred_Euc,ypred_cor,ypred_cos,ypred_Euc_shuffled,ypred_cor_shuffled,ypred_cos_shuffled
0,22.04759464800641,0.9314457650683494,0.9563353355160674,23.15442,1.0039138,1.0026987,28.502728,1.0072694,0.9571441
0,21.86009271668031,1.0395978803177908,1.0673784981875842,26.224916,1.079064,1.035814,28.38177,0.790237,0.99570966
0,28.152158023057627,1.0933117869767666,1.0041679160547488,25.8992,0.9947645,0.9844531,28.047163,0.87661797,0.8556478
0,23.866284604375334,0.9814184939243442,1.0540754612902503,26.27267,1.0507979,1.0509666,23.920486,1.0070531,0.8429836
0,30.423315714460045,0.8625408378731929,0.8943473921594735,32.167828,1.0361165,1.0723554,21.904139,0.96042466,1.1372803
0,23.24572411252754,1.0309844703736932,1.0838391345541585,26.021563,0.96446484,0.8891348,24.837875,0.89090174,0.9082564
0,24.859407319713952,1.0151486307619006,0.9526902512435309,26.540224,0.98459655,0.98910093,31.204237,0.92988104,0.8795002
0,20.942860846675664,0.9414322733659993,0.9859652060600474,27.474813,0.95400304,1.0026942,30.009691,0.95055485,0.8676153
0,24.57136244623223,1.0397805452191604,1.0644153169134618,25.482618,1.0347097,1.0693206,25.614408,0.98873425,0.9182372
0,22.162577555737734,1.009286418955325,0.9946054965631727,22.87057,1.0161251,0.96654826,29.759155,0.90891343,1.0116878
0,19.462542262322422,0.9785560400822421,0.9871083182844826,24.48151,0.99954295,1.0225519,23.277458,0.9854962,0.91311044
0,25.76638160268747,1.0932639060584335,1.0625284629381377,24.69296,0.91908425,0.9018833,26.358273,0.9847462,1.0001452
0,26.212453653537118,1.0159184652948394,0.9408734448144936,27.099508,1.0850134,1.1174827,27.360851,1.0091612,0.9062107
0,24.457358074208067,1.033002256159455,0.9453267591537969,22.209095,1.0674171,1.0110289,27.485004,1.0308965,1.0813817
0,40.7152517807416,1.0971697810582,1.1784343992163697,25.758495,1.0514362,0.8764852,30.308453,1.0409554,1.0586928
0,26.396187421891952,1.0341367291070513,1.0554008381040556,26.140884,0.995462,0.87775254,23.718182,0.8856417,0.9774442
0,24.071108802220937,0.8782998741181343,0.8804109645725979,25.324942,0.9911037,0.84057915,26.414015,0.9445621,0.9019133
0,21.573877527228596,1.0595835913857725,1.0580738180304057,22.909533,0.95918465,1.1747334,28.465155,1.0160437,1.0154542
0,24.99195207989789,1.0898252094708045,1.1370649639206594,27.353506,1.0368501,0.86166537,22.149595,1.0312715,0.9216378
0,22.179759487983056,0.9575736078120839,1.025222118862149,24.850092,1.0391656,1.1238204,30.087109,0.8678004,0.8128667
0,19.32482203908128,0.9332925689104328,0.9248031883737369,24.195278,1.0639447,1.039024,26.73808,0.86159194,0.86190253
