,fullFit_ytrue_Euc,fullFit_ytrue_cor,fullFit_ytrue_cos,fullFit_ypred_Euc,fullFit_ypred_cor,fullFit_ypred_cos
885,29.010461585848375,1.0150115425989692,1.04011066677049,27.088955,0.97817826,1.0041171
886,25.21437865369839,0.9583576670856642,0.944342599822543,24.844053,0.99313486,0.9770631
887,24.259967567180986,1.0407617839247545,1.0642345041430015,23.992483,1.047405,1.0708609
888,22.08679601225057,0.955748100973453,0.9453660791514915,22.121477,0.9620527,0.9468831
889,18.33193169118578,1.0220673907007776,1.0134655155861199,18.949137,1.017317,1.0045826
890,23.30544317781356,0.9013647709463123,0.8841360164127495,23.780308,0.8960885,0.8843838
891,28.67499718468262,1.1460346887634008,1.2046164485962314,27.876968,1.110081,1.079808
892,23.943252468017743,0.977946413391393,0.9670307807066741,27.713959,1.0223908,1.0160689
893,22.505384795980483,1.1515993119396635,1.121184839251191,23.469135,1.1163319,1.1057246
894,29.514623218110216,1.017919078426343,1.0828055133707442,29.72123,1.0156987,1.060315
895,22.574545025235473,1.0177082459474807,1.001197655495991,23.263939,1.0523492,1.0286978
896,21.417707969770017,0.9472388525394146,0.9812364323593572,22.472708,0.9751567,1.0043037
897,23.730701564585438,1.067300276403978,1.0928433826119646,24.2613,1.0554472,1.0402257
898,19.73616203447321,1.0112622070507793,0.9909942576080547,20.142889,1.0083684,0.99673307
899,21.77835024790665,0.8455734328872462,0.7977915114242905,22.175077,0.8563266,0.8153481
900,25.188437383063512,1.0303182321941609,1.0982711347445866,25.50836,1.0334983,1.0525122
901,25.589012214828614,0.9852468031829518,0.9539469757785505,26.873636,1.0062015,1.0114796
902,25.160180268014344,0.967731414764108,0.9322851258633454,26.639532,0.945931,0.9409575
903,18.924400434596105,1.1049202832868223,1.0787689064790087,19.120974,1.1050937,1.0893433
904,19.01411506244437,0.9696584997883378,0.9495272892649835,20.343884,0.970813,0.9503792
905,30.68888373496205,1.039062108951572,1.0737758086480582,27.713959,1.0223908,1.0160689
906,21.610225480967816,0.988595810162521,1.0670245979610344,21.702759,0.97853816,1.0254241
907,25.941356563737536,1.1419604921251785,1.1990050731489936,25.83269,1.1262009,1.1351835
908,20.347751379217467,1.1345454143590692,1.1048982828227982,20.889347,1.0719067,1.0441071
909,20.67536455505883,0.996193995866842,1.0041050805888012,21.085112,1.0079478,1.0039687
910,23.331239910237368,1.0232203118200467,1.0997751037972403,23.888708,1.0474422,1.0816929
911,18.606195350571966,1.0462928783929095,1.0433929704198452,20.14849,1.0498704,1.0244437
912,21.95006616821338,0.9947418519543217,1.0309793460332768,22.960365,0.99036187,1.0054141
913,23.7334484222364,1.0023406047829664,0.9404283469553105,25.480448,1.029738,0.98064774
