,ytrue_Euc,ytrue_cor,ytrue_cos,ypred_Euc,ypred_cor,ypred_cos,ypred_Euc_shuffled,ypred_cor_shuffled,ypred_cos_shuffled
0,22.04759464800641,0.9314457650683494,0.9563353355160674,29.092556,1.0310193,0.90855676,26.617083,0.9212467,0.9781052
0,21.86009271668031,1.0395978803177908,1.0673784981875842,35.044106,1.1088467,0.99806845,25.7518,1.0436077,1.0473119
0,28.152158023057627,1.0933117869767666,1.0041679160547488,26.33932,0.91235,0.7908249,26.49643,0.938267,0.85288227
0,23.866284604375334,0.9814184939243442,1.0540754612902503,31.518562,1.0311012,1.1192727,24.303116,0.9972055,0.989703
0,30.423315714460045,0.8625408378731929,0.8943473921594735,25.507748,0.97383875,1.0402884,26.75194,1.0329207,0.9217193
0,23.24572411252754,1.0309844703736932,1.0838391345541585,27.749153,0.9629793,0.9399155,27.054659,0.8752137,1.0305526
0,24.859407319713952,1.0151486307619006,0.9526902512435309,29.515564,0.99723035,0.99037343,27.113167,0.89894634,0.93046004
0,20.942860846675664,0.9414322733659993,0.9859652060600474,27.407913,0.92257184,0.92722917,31.650885,0.9667725,1.0376984
0,24.57136244623223,1.0397805452191604,1.0644153169134618,25.204792,0.99124074,0.97500265,24.577616,1.0646914,1.0323876
0,22.162577555737734,1.009286418955325,0.9946054965631727,25.718489,0.98667616,0.9429918,25.60612,0.9853335,1.024334
0,19.462542262322422,0.9785560400822421,0.9871083182844826,27.898102,1.0165162,1.0710256,28.763285,1.0190216,0.9948297
0,25.76638160268747,1.0932639060584335,1.0625284629381377,27.830431,0.8689218,0.9536938,26.517876,0.8488111,0.9510041
0,26.212453653537118,1.0159184652948394,0.9408734448144936,30.02562,1.0835178,1.0147858,24.541172,0.88788474,0.96011764
0,24.457358074208067,1.033002256159455,0.9453267591537969,30.187588,1.115131,1.1880974,27.93759,1.013839,0.98846936
0,40.7152517807416,1.0971697810582,1.1784343992163697,27.17403,1.0774429,0.9865182,30.187439,1.0280895,1.0571316
0,26.396187421891952,1.0341367291070513,1.0554008381040556,32.12593,1.0955734,0.92868996,25.4617,0.8438581,1.071328
0,24.071108802220937,0.8782998741181343,0.8804109645725979,26.134226,1.0408028,0.9729678,28.107857,1.0625293,0.8988624
