"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"8355","ENSMUSG00000096220",0.661081845786782,-1.39564622429198,1.27226868430131,0.259341507373192,1,6,15,7,11,21,15,"Olfr775","olfactory receptor 775"
"8360","ENSMUSG00000096485",0.492879650799579,-0.0922162367507579,1.27172819872318,0.25944272122205,1,14,42,26,30,36,56,"Olfr1466","olfactory receptor 1466"
"8383","ENSMUSG00000042894",0.313252908527579,2.51479861929992,1.26703780180591,0.260323122669767,1,109,234,214,198,223,322,"Olfr1260","olfactory receptor 1260"
"8394","ENSMUSG00000111259",-0.412055398243137,2.12397382858227,1.26371875065121,0.260948353874594,1,84,224,239,151,99,178,"Olfr1328","olfactory receptor 1328"
"8480","ENSMUSG00000066239",-1.81046174573345,-4.13318296944826,1.25130100720294,0.263304137376052,1,1,0,0,0,0,0,"Olfr519","olfactory receptor 519"
"8481","ENSMUSG00000066241",-1.81046174573345,-4.13318296944826,1.25130100720294,0.263304137376052,1,1,0,0,0,0,0,"Olfr514","olfactory receptor 514"
"8492","ENSMUSG00000075156",-1.81046174573345,-4.13318296944826,1.25130100720294,0.263304137376052,1,1,0,0,0,0,0,"Olfr1128","olfactory receptor 1128"
"8779","ENSMUSG00000063221",0.791836615789285,-0.898932622867716,1.24581971579364,0.264352393391951,1,3,10,31,27,16,23,"Olfr930","olfactory receptor 930"
"8792","ENSMUSG00000094133",0.670854065420322,-0.212884295112189,1.24363319023881,0.264771996645412,1,3,21,57,29,26,48,"Olfr1431","olfactory receptor 1431"
"8794","ENSMUSG00000101078",0.588359989218003,-0.629472012864239,1.2432035024026,0.264854552833254,1,11,26,15,35,29,20,"Olfr1166","olfactory receptor 1166"
"8808","ENSMUSG00000058515",0.472273834744328,-0.124452096367041,1.24140307534302,0.265200818247217,1,11,35,34,22,45,51,"Olfr933","olfactory receptor 933"
"8824","ENSMUSG00000051172",-0.269916890745232,3.26555543418825,1.23827661119141,0.265803451546546,1,202,414,509,176,399,462,"Olfr672","olfactory receptor 672"
"8826","ENSMUSG00000075176",0.58662139948384,-0.285741005818119,1.23803695347735,0.265849716414814,1,4,32,38,22,40,39,"Olfr1085","olfactory receptor 1085"
"8847","ENSMUSG00000057349",0.514460824101589,-0.115040010202393,1.2345444264172,0.266525072296654,1,14,39,26,35,28,59,"Olfr948","olfactory receptor 948"
"8852","ENSMUSG00000075169",0.576877239962148,-0.630926266444042,1.23393101449048,0.266643909265621,1,6,25,23,19,27,36,"Olfr1098","olfactory receptor 1098"
"9300","ENSMUSG00000109376",1.82799875899064,-4.13344668195034,1.21038050652894,0.271256776642115,1,0,0,0,0,1,0,"Olfr761","olfactory receptor 761"
"9444","ENSMUSG00000056995",0.399506596001492,1.00285519814005,1.20069166284985,0.273183480996149,1,30,90,68,77,63,122,"Olfr1178","olfactory receptor 1178"
"9482","ENSMUSG00000060057",0.465632369325102,-0.14077321534954,1.19373443946911,0.274577567826516,1,10,31,37,18,39,61,"Olfr193","olfactory receptor 193"
"9529","ENSMUSG00000044994",0.330419911243215,2.00824165097344,1.18755918051635,0.275822451929432,1,75,186,128,128,152,247,"Olfr1426","olfactory receptor 1426"
"9545","ENSMUSG00000033850",0.33812240204636,0.97918751374152,1.18446115312727,0.27644966122556,1,39,83,63,58,85,113,"Olfr1015","olfactory receptor 1015"
"9562","ENSMUSG00000051424",0.38361254889304,0.485860489412002,1.18121491797051,0.277108801148067,1,23,55,50,39,74,67,"Olfr1184","olfactory receptor 1184"
"9576","ENSMUSG00000075215",0.854912161234292,-2.08362650933618,1.17837342342224,0.277687383121001,1,1,8,6,9,8,10,"Olfr1000","olfactory receptor 1000"
"9637","ENSMUSG00000073922",0.341262414291425,0.885523077809457,1.16474248605915,0.280484157513891,1,29,69,73,43,78,120,"Olfr659","olfactory receptor 659"
"9640","ENSMUSG00000073948",0.449161312680482,0.0137861119159758,1.16403529353598,0.280630225444373,1,18,40,31,40,36,55,"Olfr608","olfactory receptor 608"
"9652","ENSMUSG00000096273",0.613749900294681,-1.00967598909518,1.16236795627701,0.2809749879747,1,3,11,24,8,14,42,"Olfr1474","olfactory receptor 1474"
"9658","ENSMUSG00000094986",0.466966778437262,-0.199407373196677,1.16171943033154,0.281109230965695,1,14,26,35,25,40,47,"Olfr1454","olfactory receptor 1454"
"9686","ENSMUSG00000064044",0.312756585812162,1.39663976553079,1.15697348270478,0.282094098924194,1,56,115,78,72,154,115,"Olfr319","olfactory receptor 319"
