"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"28596","ENSMUSG00000094891",-0.0539891577279049,2.13250988143355,0.0278971357790283,0.867350884130268,1,93,218,179,152,164,130,"Olfr55","olfactory receptor 55"
"28605","ENSMUSG00000051160",-0.109688129182759,-1.48450699840131,0.0278055641248467,0.867566758113914,1,4,15,16,6,14,10,"Olfr853","olfactory receptor 853"
"28694","ENSMUSG00000059397",0.0612412509463325,0.7287633602176,0.026856857492551,0.869825124108478,1,26,74,75,43,68,58,"Olfr54","olfactory receptor 54"
"28703","ENSMUSG00000110012",0.0565466319381882,1.65109112998834,0.0267778321055969,0.870015076872107,1,40,145,158,72,133,112,"Olfr644","olfactory receptor 644"
"28836","ENSMUSG00000047149",0.0591327582805036,0.581140051232859,0.02524297684363,0.873763114622927,1,35,55,63,52,39,67,"Olfr1052","olfactory receptor 1052"
"28839","ENSMUSG00000045395",-0.137067029213979,-1.98070045834989,0.0252035339837655,0.8738609510912,1,3,7,11,12,1,9,"Olfr1499","olfactory receptor 1499"
"28908","ENSMUSG00000043925",0.0478981445637963,2.67102844389347,0.0243996241400986,0.875872389092787,1,127,256,306,208,229,230,"Olfr544","olfactory receptor 544"
"28926","ENSMUSG00000067064",0.0593387468728734,1.64423308447133,0.0241204837402194,0.87657874031911,1,56,122,157,108,131,85,"Olfr1416","olfactory receptor 1416"
"28931","ENSMUSG00000094822",-0.102992176008972,-1.33799579057013,0.0241021364130463,0.876625313593296,1,6,22,12,14,11,9,"Olfr243","olfactory receptor 243"
"28947","ENSMUSG00000095448",-0.084934267500477,0.131122891319604,0.0239045015487402,0.877128149934805,1,17,53,47,44,48,16,"Olfr859","olfactory receptor 859"
"28950","ENSMUSG00000093884",0.0701477377678089,1.90831475003695,0.0238608162386669,0.877239584043365,1,42,182,197,152,103,124,"Olfr239","olfactory receptor 239"
"28952","ENSMUSG00000080990",-0.067443783737889,0.0500044388138175,0.0238471487672635,0.877274468982499,1,18,51,42,24,43,33,"Olfr118","olfactory receptor 118"
"28977","ENSMUSG00000109813",0.0895010017718421,-0.751598115074369,0.0236675431088997,0.877733850021537,1,10,26,18,8,17,37,"Olfr1279","olfactory receptor 1279"
"28999","ENSMUSG00000043855",-0.0501847293349216,1.5796596283619,0.0234548744981584,0.878280110206774,1,68,105,154,84,105,112,"Olfr479","olfactory receptor 479"
"29067","ENSMUSG00000070375",-0.0511782451216057,1.42628614660545,0.0228345873423752,0.879888017009103,1,62,127,107,99,89,86,"Olfr406","olfactory receptor 406"
"29068","ENSMUSG00000060503",-0.0467550436607565,1.86530329128,0.0228283972168555,0.879904174896516,1,103,111,175,135,76,173,"Olfr715","olfactory receptor 715"
"29074","ENSMUSG00000090675",0.0613430871782807,1.00976091065032,0.0227559827594299,0.88009336272684,1,40,91,79,93,76,46,"Olfr111","olfactory receptor 111"
"29078","ENSMUSG00000069998",0.0786113797086162,-0.0380424628864904,0.0227151499226759,0.880200177127687,1,10,52,42,31,24,40,"Olfr372","olfactory receptor 372"
"29087","ENSMUSG00000073950",0.0449597824625212,2.47082266195818,0.0226367015948554,0.880405665566931,1,159,155,275,196,168,224,"Olfr599","olfactory receptor 599"
"29091","ENSMUSG00000063844",0.0633305859510725,0.643804167354231,0.0226155909692896,0.880461025133362,1,40,39,80,37,70,55,"Olfr1276","olfactory receptor 1276"
"29111","ENSMUSG00000058114",-0.0534022848127874,1.40844127211938,0.0224170897510199,0.880982863552086,1,50,118,127,92,76,98,"Olfr127","olfactory receptor 127"
"29151","ENSMUSG00000044814",0.0702373840468328,-0.130198066060704,0.0220141596746055,0.88204943746405,1,19,28,45,25,36,31,"Olfr543","olfactory receptor 543"
"29166","ENSMUSG00000059106",-0.0628054447548165,0.467483179421575,0.0218023975863035,0.882613981876792,1,33,51,64,59,44,36,"Olfr961","olfactory receptor 961"
"29175","ENSMUSG00000095239",0.0929826906303519,-1.11831696509958,0.0217612009097188,0.882724134682616,1,4,29,14,12,14,15,"Olfr497","olfactory receptor 497"
"29182","ENSMUSG00000109020",0.0828969281663327,-0.499966296602469,0.0216834698756783,0.882932264586934,1,10,19,44,25,19,23,"Olfr197","olfactory receptor 197"
"29217","ENSMUSG00000096409",0.125633635004557,-1.54769744051925,0.0213667164431985,0.88378435904901,1,2,10,20,16,8,6,"Olfr890","olfactory receptor 890"
"29229","ENSMUSG00000070852",-0.108754393423086,-1.26458806655898,0.0212215342304893,0.884177067505486,1,4,17,22,15,12,8,"Olfr1121","olfactory receptor 1121"
"29308","ENSMUSG00000047545",0.0527332137211777,1.2753525797732,0.0202674940085648,0.88679253673538,1,44,99,116,85,92,73,"Olfr629","olfactory receptor 629"
"29314","ENSMUSG00000095138",0.0817526592128538,-0.272360404601948,0.0202033213486503,0.886970696734911,1,19,23,38,31,41,14,"Olfr781","olfactory receptor 781"
"29315","ENSMUSG00000046913",-0.112726550035564,-0.98915375484054,0.0202028819367941,0.886971917650853,1,3,25,27,18,16,8,"Olfr1451","olfactory receptor 1451"
"29331","ENSMUSG00000057801",0.100740494661332,-1.58586836532918,0.0200376642423725,0.887431942777347,1,5,12,12,11,15,5,"Olfr135","olfactory receptor 135"
"29372","ENSMUSG00000101918",-0.0652575690130653,0.41140127825823,0.0196821728750463,0.888428362404023,1,25,47,73,56,38,36,"Olfr1225","olfactory receptor 1225"
"29433","ENSMUSG00000096555",-0.0541015715776789,0.642387551474096,0.0191116885923117,0.890046767160121,1,22,83,68,37,66,48,"Olfr944","olfactory receptor 944"
"29439","ENSMUSG00000075378",0.0555880349713307,0.904807166713314,0.0190659498818149,0.890177582731982,1,25,90,88,57,78,53,"Olfr361","olfactory receptor 361"
"29507","ENSMUSG00000058692",-0.140499970726799,-2.58728923610318,0.0184699136809652,0.891897125386822,1,0,8,6,2,5,3,"Olfr846","olfactory receptor 846"
