"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"8727","ENSMUSG00000052417",0.461853201626331,1.99492404603394,1.86178229345475,0.172419238914854,1,96,97,137,167,131,174,"Olfr720","olfactory receptor 720"
"8757","ENSMUSG00000054141",0.457752802562437,3.0301680067286,1.85556228836293,0.173137850723176,1,258,159,258,244,304,420,"Olfr24","olfactory receptor 24"
"8760","ENSMUSG00000090894",0.435199818509982,3.09864226472729,1.8547579424407,0.173231030000735,1,309,183,234,311,326,368,"Olfr110","olfactory receptor 110"
"8799","ENSMUSG00000075220",-1.65174038931116,-3.03428509028338,1.84568869487036,0.174285658394576,1,6,4,0,2,1,0,"Olfr993","olfactory receptor 993"
"8808","ENSMUSG00000093942",0.462649144513633,2.05807329606062,1.84276458731722,0.174627266094045,1,123,87,133,157,135,201,"Olfr46","olfactory receptor 46"
"8861","ENSMUSG00000045013",0.41298614866519,3.69743443228337,1.82897939864203,0.176248141398961,1,416,282,401,417,552,551,"Olfr711","olfactory receptor 711"
"8877","ENSMUSG00000042863",0.607509652285598,0.831019084896834,1.82561269855054,0.176646631830045,1,59,30,46,70,92,53,"Olfr1026","olfactory receptor 1026"
"8883","ENSMUSG00000048067",0.388618173518929,3.36852472097621,1.82406682366102,0.176829953225349,1,307,246,334,395,394,415,"Olfr1349","olfactory receptor 1349"
"8886","ENSMUSG00000073916",0.583542173805385,2.44792020487079,1.8231667730146,0.17693678904262,1,200,87,145,146,244,269,"Olfr669","olfactory receptor 669"
"8951","ENSMUSG00000043366",0.524574851494656,1.70850119978827,1.80896696705307,0.178632201594214,1,86,72,96,79,149,168,"Olfr78","olfactory receptor 78"
"8997","ENSMUSG00000094426",0.682008652698715,0.368843597509498,1.79605919116206,0.180189650521768,1,37,28,25,28,80,52,"Olfr478","olfactory receptor 478"
"9007","ENSMUSG00000090059",1.37401252180053,-1.99656548145105,1.79413338014736,0.180423361817611,1,8,0,4,5,8,14,"Olfr1062","olfactory receptor 1062"
"9022","ENSMUSG00000043274",0.545535655544393,0.762129629726764,1.79135370614991,0.180761314298754,1,60,33,41,65,61,74,"Olfr1123","olfactory receptor 1123"
"9097","ENSMUSG00000094747",0.589400208087481,0.204669739429946,1.77548833790681,0.182704309898956,1,24,29,34,48,37,52,"Olfr1307","olfactory receptor 1307"
"9108","ENSMUSG00000060765",0.466825823653,1.49257562073278,1.77331215680576,0.182972704177413,1,82,58,90,138,83,113,"Olfr325","olfactory receptor 325"
"9146","ENSMUSG00000051180",0.417020984343956,3.44130213930811,1.76515490865246,0.183982835664051,1,378,199,355,389,404,466,"Olfr522","olfactory receptor 522"
"9165","ENSMUSG00000044897",0.62547731118496,0.836746627726931,1.75886973122906,0.184765557730812,1,54,13,80,69,51,82,"Olfr821","olfactory receptor 821"
"9195","ENSMUSG00000040328",0.54842428829494,2.18933710452651,1.75057450862042,0.185804524932732,1,146,93,115,109,193,256,"Olfr56","olfactory receptor 56"
"9211","ENSMUSG00000096365",0.424501488588251,3.03627843616767,1.74696127353359,0.186259199080343,1,273,129,295,286,233,434,"Olfr1463","olfactory receptor 1463"
"9216","ENSMUSG00000048391",0.566047587550489,0.816962134992789,1.74630627296187,0.186341759923469,1,57,29,52,64,75,69,"Olfr843","olfactory receptor 843"
"9220","ENSMUSG00000094192",0.485386959404047,1.58301911678578,1.7457147195399,0.18641635999686,1,97,64,82,103,106,146,"Olfr452","olfactory receptor 452"
"9230","ENSMUSG00000045708",0.804779445565436,-0.510360095717045,1.7439484755582,0.186639305480535,1,27,7,15,25,23,34,"Olfr447","olfactory receptor 447"
"9268","ENSMUSG00000050128",-0.949865703611926,-0.797862120336307,1.73623400937256,0.187616710956937,1,15,19,29,5,28,8,"Olfr1023","olfactory receptor 1023"
"9340","ENSMUSG00000096409",-0.884036820482719,-1.23377951247811,1.72462857112882,0.189098334855614,1,10,22,16,9,5,13,"Olfr890","olfactory receptor 890"
