"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"16656","ENSMUSG00000073964",0.584154579756541,1.89557466765163,0.840290234040978,0.359313776940349,0.933509153514557,83,74,44,47,69,430,"Olfr570","olfactory receptor 570"
"16669","ENSMUSG00000063844",0.382709967982912,0.352657893836409,0.838781636112097,0.359745456111911,0.933509153514557,12,65,34,37,55,41,"Olfr1276","olfactory receptor 1276"
"16679","ENSMUSG00000090629",0.281786414928828,1.02298625272016,0.837394161602093,0.36014310693512,0.933509153514557,61,43,71,62,74,87,"Olfr180","olfactory receptor 180"
"16686","ENSMUSG00000042801",-0.314872450665406,0.720045104856046,0.836829411722121,0.360305137886081,0.933509153514557,28,62,88,35,58,49,"Olfr769","olfactory receptor 769"
"16705","ENSMUSG00000068437",0.351285314572746,0.148212297194624,0.834875467015185,0.360866514879493,0.933509153514557,15,40,36,24,52,44,"Olfr725","olfactory receptor 725"
"16748","ENSMUSG00000075188",-0.426407039645731,-0.148136538151904,0.830153693168206,0.362228090791918,0.934836899420828,28,20,47,13,27,35,"Olfr1056","olfactory receptor 1056"
"16775","ENSMUSG00000111456",-0.696015035496548,-1.7664353121228,0.825937340702278,0.363449926171487,0.93579864168453,8,11,8,12,6,2,"Olfr1245","olfactory receptor 1245"
"16835","ENSMUSG00000108114",0.274456813358751,0.987216387261449,0.819294866327959,0.365386411016541,0.935940713992096,37,59,73,41,86,92,"Olfr800","olfactory receptor 800"
"16874","ENSMUSG00000063106",-0.296963071219495,0.682464530429236,0.814175014886535,0.36688877810449,0.935940713992096,39,49,79,30,44,71,"Olfr1510","olfactory receptor 1510"
"16908","ENSMUSG00000046975",0.355505241754567,0.242223428257385,0.810757524996132,0.367896382952654,0.935940713992096,12,40,47,24,39,65,"Olfr1020","olfactory receptor 1020"
"16911","ENSMUSG00000051509",-0.206512027080197,2.33767480091445,0.810535498364224,0.367961977800036,0.935940713992096,115,182,230,107,172,201,"Olfr414","olfactory receptor 414"
"16914","ENSMUSG00000059379",0.360053794606653,0.468104132098943,0.809706933849625,0.368206909970198,0.935940713992096,44,20,52,58,54,39,"Olfr1014","olfactory receptor 1014"
"16923","ENSMUSG00000090951",0.248946505411585,1.9054349519403,0.808375500043252,0.368600970846252,0.935940713992096,44,152,149,90,139,170,"Olfr181","olfactory receptor 181"
"16995","ENSMUSG00000068647",0.370774677766552,0.0454613064797765,0.801652377193176,0.370599794666119,0.936087199053034,13,37,34,22,38,52,"Olfr1278","olfactory receptor 1278"
"17017","ENSMUSG00000075136",-0.705873237648791,-2.06191649222854,0.799770296048098,0.371162056098348,0.936087199053034,11,9,2,8,4,2,"Olfr1164","olfactory receptor 1164"
"17037","ENSMUSG00000083361",-0.195452320385758,2.57546923366302,0.797494660981453,0.371843481866386,0.936087199053034,123,262,230,113,244,211,"Olfr360","olfactory receptor 360"
"17083","ENSMUSG00000099820",-0.653206637738961,-0.22229355989944,0.79119085551039,0.373740279709567,0.936087199053034,22,37,21,1,31,48,"Olfr1036","olfactory receptor 1036"
"17084","ENSMUSG00000061387",0.386689974532084,-0.0328810742294355,0.791155082031216,0.373751082463855,0.936087199053034,22,21,34,23,47,38,"Olfr1490","olfactory receptor 1490"
"17085","ENSMUSG00000109354",0.24447439872959,1.60999257914701,0.791141034909517,0.373755324485785,0.936087199053034,55,134,83,81,126,121,"Olfr706","olfactory receptor 706"
"17112","ENSMUSG00000049498",0.5000777633112,-0.913344203911207,0.787652144407404,0.374811010943729,0.936392317383093,5,17,17,11,18,27,"Olfr1449","olfactory receptor 1449"
"17152","ENSMUSG00000058513",-0.241864490282209,1.37825656220098,0.782283973553146,0.376443528468237,0.936392317383093,77,103,87,80,99,62,"Olfr801","olfactory receptor 801"
"17196","ENSMUSG00000051593",0.295930747735178,0.68057217141421,0.777954039090143,0.377767598603034,0.936392317383093,31,53,51,41,57,78,"Olfr272","olfactory receptor 272"
"17200","ENSMUSG00000075062",-0.219774940179463,2.09749958991452,0.777291070705493,0.377970909138673,0.936392317383093,76,173,208,97,135,162,"Olfr1271","olfactory receptor 1271"
"17242","ENSMUSG00000111454",1.00856538646767,-2.6105066331107,0.772194977279994,0.379538873934869,0.936392317383093,1,0,8,4,4,4,"Olfr998","olfactory receptor 998"
"17280","ENSMUSG00000094970",0.264505689266213,1.32300925481924,0.766806549293114,0.381206788464972,0.936392317383093,34,92,99,70,89,109,"Olfr943","olfactory receptor 943"
"17299","ENSMUSG00000073950",0.184595872988094,3.42264346403426,0.76379593584987,0.382143198713121,0.936392317383093,296,214,463,246,329,622,"Olfr599","olfactory receptor 599"
"17310","ENSMUSG00000045780",0.540227904894948,-0.99883440572207,0.763332341161591,0.382287682766899,0.936392317383093,10,6,19,8,20,26,"Olfr624","olfactory receptor 624"
"17318","ENSMUSG00000071522",0.194186016169151,3.30634170482147,0.762034963187802,0.382692435493962,0.936392317383093,149,387,397,290,361,400,"Olfr263","olfactory receptor 263"
